ebeam,dccorr,dccorr_err
641.0,0.8756424342345264,0.001411158858474195
650.0,0.8856830488626205,0.0014151762316072262
675.0,0.8923907169141906,0.0038696199111833566
700.0,0.8921160830837297,0.0015862833529235122
725.0,0.8830322738206698,0.0014302505865802268
750.0,0.8874834380882882,0.0014625558634403658
775.0,0.8869459590586384,0.001377491346400524
800.0,0.8834508752995455,0.0013743577510951957
825.0,0.8808993899267179,0.0014096199379276084
840.0,0.8816038251992616,0.0014486988630435088
850.0,0.8740040358734592,0.0015040640963730726
860.0,0.8766004879695548,0.0015379633963930341
870.0,0.8705380012685945,0.0016286259840992937
880.0,0.8622277781418045,0.0016424140456137255
890.0,0.8590285805292781,0.0017513624292416349
900.0,0.8538734797844009,0.0016985890922756128
910.0,0.8550781158977621,0.001735262331675928
920.0,0.8505464142347348,0.001813384159882907
930.0,0.8554777246824551,0.0018102176126689627
936.0,0.8528095783340622,0.0017557581645229398
937.5,0.8532041316283568,0.0018382745482070678
938.3,0.8523791402565698,0.0019008870167611157
938.9,0.8573012948695441,0.0017791616990098442
939.6,0.857546779922046,0.0018109584839611254
940.2,0.8656741044832906,0.01166252483205606
940.8,0.8505781543750777,0.0017620220795068855
942.0,0.846684963998036,0.0017512483742258495
950.0,0.850935944759166,0.0017980098369086387
960.0,0.8539949080389505,0.0018978764081170954
971.0,0.8492294063414867,0.0018176559392147588
981.0,0.8509960845674058,0.0018335259551622686
990.0,0.8602101104229953,0.0018489070562583236
