,rad,rad_errs
537.5,0.8954311162817684,3.229678046828936e-07
550.0,0.890991677623013,1.2073168292379755e-05
550.1,0.8966415094003866,3.8475249834481906e-05
562.5,0.9032726722569345,7.450397845030328e-05
575.0,0.9046316403944459,7.251393878576645e-07
587.5,0.9107432284026944,6.015567556583949e-08
600.0,0.9086123681903886,1.841722223734267e-07
625.0,0.9190036900597899,1.6126714884853386e-05
637.5,0.9067455014681481,2.112909527701894e-05
641.0,0.9184767906552344,7.983134333781102e-08
650.0,0.9042335133087177,1.4614372899752705e-06
662.5,0.9213785513590569,4.3688447160080006e-05
675.0,0.8989255531449264,1.679890878868732e-05
687.5,0.9295482787038265,1.604786472146257e-07
700.0,0.9393989721088272,2.938498286113629e-07
712.5,0.9340609279719658,3.113253828614179e-07
725.0,0.903477639701649,4.169332245483895e-05
737.5,0.8562677544058381,4.650847595756861e-06
750.0,0.8604940401841361,1.9775312608096825e-05
762.0,0.8645641851543314,3.4178764865848524e-05
775.0,0.8603626128336188,1.5381662021770155e-07
787.5,0.8558758167066586,3.286492546999458e-06
800.0,0.8643425642022649,5.2999082923000286e-05
812.5,0.874097729479145,5.498547299239595e-05
825.0,0.8943143356276924,3.5954363144362376e-07
837.5,0.9604588274004741,1.733281432919787e-06
850.0,1.1066727489631563,5.033131473639654e-05
862.5,1.3524753517624701,5.949621830753519e-05
875.0,2.009303727404598,0.000104440921414613
887.5,4.47801636623707,0.0002548969010608673
900.0,3575.8636134424587,0.15241801845379832
912.5,3.4389081675770994,0.00016209859211634533
925.0,1.2774516071706943,8.05424953927478e-05
936.0,1.0455611901431414,1.1619218409553012e-05
945.0,0.9450009409622036,1.2848497921473336e-05
950.0,0.9355631907894179,7.333249821734909e-05
951.1,0.8689180091460847,2.82586252836497e-06
955.0,0.891734376387868,6.546107380303934e-05
962.5,0.8963048309284458,1.2417724821980377e-07
975.0,0.8369344871094162,1.0333798596054048e-07
978.0,0.8469336037451083,1.1140349394318384e-06
987.5,0.8389956882869042,2.152623145335639e-05
